ID,project_ID,title,businessProblem,solutionSummary,processType_code,extensionType_code,implementationStatus_code,complexityLevel_code,kpiImpact,demoRoute,createdAt,createdBy,modifiedAt,modifiedBy
t1,11111111-1111-1111-1111-111111111111,PO Approval with RAP,"Manual approvals slow S2P","RAP BO + Fiori Elements; rules & delegation",PT_S2P,ON,DEMO,MED,"-20% cycle","/task/t1",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t2,11111111-1111-1111-1111-111111111111,EDI PO/ASN via CPI,"Partner EDI variability","CPI iFlows for ORDERS/DESADV + IDoc mapping",PT_S2P,API,DEMO,HIGH,"-80% manual EDI","/task/t2",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t3,22222222-2222-2222-2222-222222222222,Return App Enhancements,"High return handling time","Fiori ALP + CAP service; analytics & actions",PT_L2C,SB,DEMO,MED,"-15% handling","/task/t3",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t4,22222222-2222-2222-2222-222222222222,Promo Price Check API,"Promo price errors","Side-by-side CAP validation API",PT_L2C,SB,WIP,LOW,"-60% errors","/task/t4",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t5,33333333-3333-3333-3333-333333333333,UDI Label Posting,"UDI label events missing","CPI webhook → IDoc → ABAP BAdI",PT_S2P,API,DEMO,HIGH,"99.5% capture","/task/t5",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t6,33333333-3333-3333-3333-333333333333,Device Recall Trace,"Slow recall traceability","CAP service + Fiori drilldowns",PT_L2C,SB,DEMO,MED,"<1min trace","/task/t6",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t7,44444444-4444-4444-4444-444444444444,Scrap Variance Analytics,"Blind spots in scrap","ALP over CAP analytical service",PT_D2O,SB,DEMO,MED,"-12% defects","/task/t7",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t8,44444444-4444-4444-4444-444444444444,QM NC Workflow,"NC follow-up delays","BPA workflow + CAP webhook",PT_D2O,SB,WIP,MED,"-25% cycle","/task/t8",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t9,55555555-5555-5555-5555-555555555555,ATP Heuristics,"Frequent backorders","RAP enhancement w/ released APIs",PT_L2C,ON,DEMO,HIGH,"-18% backorders","/task/t9",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t10,55555555-5555-5555-5555-555555555555,Delivery Split Logic,"Inefficient deliveries","BAdI + ALP monitor",PT_L2C,ON,WIP,MED,"-8% freight","/task/t10",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t11,66666666-6666-6666-6666-666666666666,Ancillary FI Posting,"Revenue leakage","ABAP rules + OData service",PT_R2R,ON,DEMO,MED,"+2% revenue","/task/t11",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t12,66666666-6666-6666-6666-666666666666,Tax Mapping Service,"Incorrect tax keys","CAP mapping + MDG tables",PT_R2R,SB,WIP,LOW,"-90% corrections","/task/t12",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t13,77777777-7777-7777-7777-777777777777,Subcontract Invoice OCR,"Manual AP work","Doc AI + BTP → FI",PT_S2P,SB,DEMO,HIGH,"-25% AP effort","/task/t13",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
t14,77777777-7777-7777-7777-777777777777,Retention Release Flow,"Retention clerks backlog","BPA workflow + FI integration",PT_R2R,SB,WIP,MED,"-30% backlog","/task/t14",2025-01-01T00:00:00Z,denada,2025-01-01T00:00:00Z,denada
