ID,skillName,category,proficiencyLevel,yearsExperience,description
d0000000-0000-0001-0000-000000000001,ABAP Cloud,Backend,95,3.5,"Expert in modern ABAP Cloud development following clean core principles with focus on cloud-ready APIs and extensibility patterns."
d0000000-0000-0002-0000-000000000001,ABAP RESTful Programming Model (RAP),Backend,92,3.0,"Advanced expertise in building RAP-based business objects using managed and unmanaged scenarios with behavior definitions, actions, validations, and determinations."
d0000000-0000-0003-0000-000000000001,Core Data Services (CDS),Backend,90,4.0,"Comprehensive experience creating transactional, analytical, and consumption CDS views with proper annotations for Fiori Elements."
d0000000-0000-0004-0000-000000000001,ABAP Object-Oriented Programming,Backend,88,4.0,"Strong foundation in OO design patterns, encapsulation, and modern ABAP development practices."
d0000000-0000-0005-0000-000000000001,AMDP (ABAP Managed Database Procedures),Backend,85,2.5,"Experience developing high-performance database procedures for complex calculations and data-intensive operations."
d0000000-0000-0006-0000-000000000001,SAP Fiori Elements,Frontend,90,3.5,"Expert in building List Report, Object Page, and Analytical List Page applications with UI annotations and customizations."
d0000000-0000-0007-0000-000000000001,SAPUI5,Frontend,85,3.0,"Proficient in UI5 framework, custom controls, data binding, and extending Fiori Elements applications."
d0000000-0000-0008-0000-000000000001,SAP Fiori Design Guidelines,Frontend,88,3.5,"Deep understanding of SAP Fiori UX design principles and implementation of consistent user experiences."
d0000000-0000-0009-0000-000000000001,SAP Cloud Platform Integration (CPI),Integration,85,3.0,"Skilled in designing and implementing iFlows for system integration with message mapping, error handling, and monitoring."
d0000000-0000-0010-0000-000000000001,OData Services,Integration,90,4.0,"Expert in creating and consuming OData V2 and V4 services for system integration and Fiori applications."
d0000000-0000-0011-0000-000000000001,IDocs,Integration,80,2.5,"Experience configuring and troubleshooting IDoc interfaces for SAP system communication."
d0000000-0000-0012-0000-000000000001,REST APIs,Integration,88,3.5,"Proficient in designing and consuming RESTful APIs for cloud and on-premise integrations."
d0000000-0000-0013-0000-000000000001,SAP BTP (Business Technology Platform),Cloud,88,3.0,"Experience building side-by-side extensions, using BTP services, and cloud-native development on SAP BTP."
d0000000-0000-0014-0000-000000000001,SAP HANA Optimization,Database,85,3.0,"Skilled in HANA performance tuning, CDS view optimization, and code pushdown techniques."
d0000000-0000-0015-0000-000000000001,SAP S/4HANA,ERP,92,4.0,"Comprehensive experience across greenfield, brownfield, and hybrid S/4HANA implementations."
d0000000-0000-0016-0000-000000000001,ABAP Test Cockpit (ATC),Tools,82,2.5,"Experience using ATC for S/4HANA readiness checks and code quality analysis."
d0000000-0000-0017-0000-000000000001,Eclipse ADT,Tools,90,4.0,"Daily use of ABAP Development Tools for modern development workflows including CDS, RAP, and debugging."
d0000000-0000-0018-0000-000000000001,Git,Tools,85,3.5,"Version control expertise with Git workflows for collaborative development."
d0000000-0000-0019-0000-000000000001,SAP CAP (Cloud Application Programming Model),Backend,75,1.5,"Growing expertise in building cloud-native applications with CAP using Node.js and CDS."
d0000000-0000-0020-0000-000000000001,Clean Core Principles,Architecture,92,3.5,"Deep understanding of extensibility concepts, side-by-side extensions, and maintaining upgradability."
